bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,READ,SEARCH_CONTENT,SEARCH_FILES,TEST,VCS,WEB,WRITE
JacksonDatabind-56,1,0,0,3,1,0,3,1,0,1
JacksonDatabind-59,10,0,0,38,8,0,7,0,0,50
JacksonDatabind-60,2,2,0,6,1,0,4,1,0,1
JacksonDatabind-61,2,0,0,8,0,1,7,1,0,2
JacksonDatabind-65,2,0,0,5,0,1,4,1,0,1
JacksonDatabind-66,4,0,2,12,0,3,7,1,0,5
JacksonDatabind-68,34,0,0,27,3,0,19,0,5,63
JacksonDatabind-69,23,0,1,14,0,2,31,20,0,28
JacksonDatabind-6,0,1,0,11,0,1,8,3,0,12
JacksonDatabind-73,11,0,0,19,4,1,8,0,0,22
JacksonDatabind-75,8,0,0,24,6,2,7,0,1,71
JacksonDatabind-77,1,0,0,7,1,0,2,0,0,0
JacksonDatabind-78,1,0,0,4,1,1,2,0,0,0
JacksonDatabind-79,5,0,0,7,4,1,4,0,0,5
JacksonDatabind-87,4,1,0,7,0,1,4,1,0,8
JacksonDatabind-8,2,0,0,6,0,0,4,1,0,1
JacksonDatabind-90,1,0,0,14,2,0,8,1,0,17
JacksonDatabind-94,5,0,0,11,1,1,8,1,0,11
JacksonDatabind-95,2,0,0,4,0,0,4,1,0,2
JacksonXml-1,1,0,0,20,1,0,9,0,0,22
JacksonXml-6,11,0,0,11,0,4,4,6,0,42
Jsoup-11,0,0,0,13,0,0,19,1,0,27
Jsoup-12,20,1,0,12,1,1,15,1,0,35
Jsoup-14,17,0,0,20,0,1,16,8,0,36
Jsoup-18,11,0,0,33,1,0,6,0,0,37
Jsoup-22,3,0,0,17,0,0,16,1,0,29
Jsoup-23,3,0,0,6,0,0,5,3,0,5
Jsoup-3,34,0,0,20,0,0,30,0,0,86
Jsoup-42,3,1,0,4,0,0,3,1,0,1
Jsoup-4,1,0,0,10,0,1,3,0,0,3
Jsoup-56,0,0,0,60,0,0,55,0,0,64
Jsoup-58,11,0,1,8,0,0,14,1,0,20
Jsoup-60,11,0,0,10,0,0,10,2,0,24
Jsoup-65,8,0,0,19,2,0,9,1,0,27
Jsoup-67,1,0,0,5,0,2,4,1,0,2
Jsoup-71,0,0,0,3,0,0,0,0,0,0
Jsoup-73,2,0,0,6,0,0,4,1,0,6
Jsoup-74,3,0,0,10,0,0,6,1,0,5
Jsoup-81,47,0,0,7,0,0,48,0,0,133
Jsoup-83,2,0,0,26,0,0,2,0,0,24
Jsoup-87,1,0,0,3,0,0,1,0,0,1
Jsoup-91,9,0,0,19,0,0,9,1,0,21
Jsoup-92,1,0,0,3,0,0,0,0,0,0
JxPath-13,6,1,0,7,0,1,4,1,0,9
JxPath-15,4,0,0,11,0,4,6,1,0,3
JxPath-16,2,0,0,4,0,0,3,1,0,2
JxPath-17,3,0,0,7,0,4,4,1,0,3
JxPath-18,34,0,0,51,1,1,56,0,0,59
JxPath-19,1,0,0,7,1,0,5,1,0,2
JxPath-1,34,0,0,54,0,0,21,0,0,65
JxPath-2,2,0,0,8,0,3,4,1,0,3
JxPath-3,21,0,0,63,6,0,23,0,0,106
JxPath-4,1,0,0,48,9,1,16,14,0,56
JxPath-7,3,0,0,9,0,2,4,1,0,8
JxPath-9,17,0,0,26,0,0,20,1,0,25
Lang-13,7,0,0,5,0,0,9,3,1,8
Lang-15,33,0,0,8,0,2,31,10,0,42
Lang-20,10,0,1,14,3,0,15,1,0,26
Lang-27,1,0,0,5,0,0,4,1,0,1
Lang-30,10,0,0,13,0,3,11,3,0,27
Lang-32,5,0,0,5,0,0,6,0,0,13
Lang-34,10,0,0,17,0,0,8,0,0,46
Lang-35,2,0,0,6,3,0,5,1,0,2
Lang-36,5,0,0,9,0,2,6,3,0,7
