bug_id,repair,failed_test_prior,failed_test_after,regression_reduction,compile_fail
JacksonDatabind_55,0,1,1,0,0
JacksonDatabind_56,1,1,0,1,0
JacksonDatabind_59,0,1,2,-1,0
JacksonDatabind_60,1,2,0,2,0
JacksonDatabind_61,1,1,0,1,0
JacksonDatabind_65,1,1,0,1,0
JacksonDatabind_66,1,1,0,1,0
JacksonDatabind_68,0,2,3,-1,0
JacksonDatabind_69,0,1,2,-1,0
JacksonDatabind_72,0,1,1,0,0
JacksonDatabind_73,0,2,0,undefined,1
JacksonDatabind_75,0,1,1,0,0
JacksonDatabind_77,0,1,1,0,0
JacksonDatabind_78,0,1,1,0,0
JacksonDatabind_79,1,1,0,1,0
JacksonDatabind_80,0,1,1,0,0
JacksonDatabind_81,0,1,1,0,0
JacksonDatabind_87,1,1,0,1,0
JacksonDatabind_90,0,1,0,undefined,1
JacksonDatabind_94,1,1,0,1,0
JacksonDatabind_95,1,1,0,1,0
JacksonDatabind_103,0,1,1,0,0
JacksonDatabind_104,0,2,2,0,0
JacksonDatabind_105,0,1,1,0,0
JacksonDatabind_108,0,1,1,0,0
JacksonDatabind_109,0,1,1,0,0
JacksonDatabind_110,0,1,0,undefined,1
JacksonDatabind_111,1,1,0,1,0
JacksonXml_1,0,3,0,undefined,1
JacksonXml_2,0,1,1,0,0
JacksonXml_6,0,5,1,4,0
Jsoup_3,0,3,3,0,0
Jsoup_4,0,2,2,0,0
Jsoup_7,0,1,1,0,0
Jsoup_11,1,4,0,4,0
Jsoup_12,1,1,0,1,0
Jsoup_14,0,2,41,-39,0
Jsoup_16,0,2,2,0,0
Jsoup_18,0,3,4,-1,0
Jsoup_21,0,2,2,0,0
Jsoup_22,1,3,0,3,0
Jsoup_23,1,1,0,1,0
Jsoup_28,0,6,6,0,0
Jsoup_29,0,1,1,0,0
Jsoup_30,0,1,1,0,0
Jsoup_31,0,1,1,0,0
Jsoup_36,0,6,6,0,0
Jsoup_42,1,2,0,2,0
Jsoup_50,0,1,1,0,0
Jsoup_52,0,7,7,0,0
Jsoup_56,0,1,0,undefined,1
Jsoup_58,1,2,0,2,0
Jsoup_59,0,2,2,0,0
Jsoup_60,1,2,0,2,0
Jsoup_63,0,3,3,0,0
Jsoup_65,0,1,1,0,0
Jsoup_66,0,1,1,0,0
Jsoup_67,0,1,1,0,0
Jsoup_71,0,2,2,0,0
Jsoup_73,1,1,0,1,0
Jsoup_74,1,1,0,1,0
Jsoup_78,0,1,1,0,0
Jsoup_79,0,1,1,0,0
Jsoup_81,0,1,1,0,0
Jsoup_83,0,2,0,undefined,1
Jsoup_87,0,1,0,undefined,1
Jsoup_91,0,3,3,0,0
Jsoup_92,0,3,3,0,0
JxPath_1,0,2,15,-13,0
JxPath_2,1,1,0,1,0
JxPath_3,0,1,5,-4,0
JxPath_4,0,6,9,-3,0
JxPath_7,1,1,0,1,0
JxPath_9,0,1,1,0,0
JxPath_11,0,0,2,-2,0
JxPath_13,1,1,0,1,0
JxPath_15,1,0,0,0,0
JxPath_16,1,0,0,0,0
JxPath_17,1,0,0,0,0
JxPath_18,0,0,1,-1,0
JxPath_19,1,2,0,2,0
JxPath_20,0,1,1,0,0
Lang_4,1,1,0,1,0
Lang_5,0,1,1,0,0
Lang_7,1,1,0,1,0
Lang_8,1,1,0,1,0
Lang_13,1,1,0,1,0
Lang_15,0,2,3,-1,0
Lang_19,0,2,2,0,0
Lang_20,0,2,1,1,0
Lang_23,0,1,1,0,0
Lang_27,1,1,0,1,0
Lang_30,1,10,0,10,0
Lang_32,1,1,0,1,0
Lang_34,0,27,27,0,0
Lang_35,1,1,0,1,0
Lang_36,1,2,0,2,0
Lang_41,1,2,0,2,0
Lang_46,1,1,0,1,0
Lang_47,1,2,0,2,0
Lang_50,1,2,0,2,0
Lang_56,1,1,0,1,0
Lang_60,1,1,0,1,0
Lang_62,1,1,0,1,0
Lang_63,1,1,0,1,0
Lang_64,1,1,0,1,0
Lang_65,0,1,1,0,0
Math_1,1,2,0,2,0
Math_4,1,2,0,2,0
Math_6,1,26,0,26,0
Math_7,1,1,0,1,0
Math_12,1,0,0,0,0
Math_14,1,1,0,1,0
Math_15,1,1,0,1,0
Math_16,1,2,0,2,0
Math_18,0,1,2,-1,0
Math_21,1,2,0,2,0
Math_22,1,0,0,0,0
Math_23,1,1,0,1,0
Math_24,1,1,0,1,0
Math_26,1,1,0,1,0
Math_28,1,1,0,1,0
Math_29,1,0,0,0,0
Math_31,0,2,1,1,0
Math_35,1,4,0,4,0
Math_36,1,2,0,2,0
Math_37,1,4,0,4,0
Math_38,0,1,13,-12,0
Math_44,0,1,2,-1,0
Math_46,1,2,0,2,0
Math_47,1,2,0,2,0
Math_49,1,1,0,1,0
Math_52,0,1,1,0,0
Math_54,1,1,0,1,0
Math_55,0,1,1,0,0
Math_61,0,1,2,-1,0
Math_62,1,1,0,1,0
Math_64,1,2,0,2,0
Math_65,1,1,0,1,0
Math_66,0,4,4,0,0
Math_68,0,2,0,undefined,1
Math_72,1,1,0,1,0
Math_76,0,2,4,-2,0
Math_77,1,2,0,2,0
Math_78,0,1,1,0,0
Math_81,0,1,16,-15,0
Math_83,0,1,1,0,0
Math_84,1,2,0,2,0
Math_86,1,2,0,2,0
Math_90,1,1,0,1,0
Math_92,1,1,0,1,0
Math_93,1,1,0,1,0
Math_98,1,2,0,2,0
Math_99,1,2,0,2,0
Math_100,1,1,0,1,0
Math_106,0,1,1,0,0
Mockito_2,1,3,0,3,0
Mockito_3,1,9,0,9,0
Mockito_4,0,4,1,3,0
Mockito_6,1,7,0,7,0
Mockito_9,1,3,0,3,0
Mockito_10,0,1,0,undefined,1
Mockito_14,0,1,1,0,0
Mockito_15,0,1,1,0,0
Mockito_16,0,1,6,-5,0
Mockito_17,1,1,0,1,0
Mockito_19,0,1,11,-10,0
Mockito_20,1,8,0,8,0
Mockito_21,1,1,0,1,0
Mockito_23,0,1,5,-4,0
Mockito_25,0,6,0,undefined,1
Mockito_30,1,1,0,1,0
Mockito_31,1,1,0,1,0
Mockito_32,1,1,0,1,0
Mockito_35,0,4,7,-3,0
Mockito_36,0,2,2,0,0
Time_1,0,1,3,-2,0
Time_2,0,1,1,0,0
Time_3,1,5,0,5,0
Time_6,0,5,47,-42,0
Time_9,1,1,0,1,0
Time_10,1,2,0,2,0
Time_12,1,8,0,8,0
Time_13,1,1,0,1,0
Time_23,0,1,1,0,0
Time_26,0,8,8,0,0
Codec_6,1,1,0,1,0
Math_71,0,2,0,undefined,1
