bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,OTHER,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
Closure_53,1,0,0,0,0,0,7,0,1,1,4,0,0,1,0,2
Closure_54,3,0,0,3,0,0,12,0,7,3,4,0,1,0,0,2
Closure_6,3,0,0,0,0,0,11,0,7,3,9,0,0,1,0,3
Closure_60,3,0,0,0,0,0,20,0,7,7,7,0,0,0,0,5
Closure_64,2,1,4,16,0,0,22,0,12,0,2,0,0,0,0,11
Closure_68,1,0,0,0,0,0,12,0,6,2,6,0,0,0,0,2
Closure_72,2,0,0,6,0,0,11,0,4,0,5,0,0,0,0,7
Closure_74,6,0,0,0,0,0,4,0,1,2,15,0,0,1,0,7
Closure_76,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
Closure_79,1,0,0,1,0,0,7,0,2,1,4,0,0,0,0,0
Closure_80,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
Closure_84,4,0,0,0,0,0,7,0,4,1,5,0,0,0,0,3
Closure_85,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
Closure_89,4,0,0,13,0,0,14,0,3,2,7,0,0,1,0,8
Closure_9,7,0,0,5,0,0,8,0,2,2,7,0,0,0,0,3
Closure_90,8,0,0,0,0,0,13,0,10,0,14,0,0,1,0,12
Closure_98,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
Closure_99,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
Codec_1,2,0,0,0,0,0,12,0,4,2,8,0,0,1,0,3
Codec_11,6,0,2,7,0,0,7,0,2,3,9,0,1,1,0,4
Codec_12,6,0,0,3,0,0,13,0,6,0,11,0,0,1,0,5
Codec_13,8,0,1,13,0,0,4,0,0,2,7,0,0,0,0,3
Codec_14,9,0,1,12,0,0,10,0,4,11,6,0,0,0,0,5
Codec_6,4,0,0,22,0,1,11,0,2,3,13,0,0,3,0,10
Codec_8,4,0,4,17,0,1,19,0,5,1,9,0,0,1,0,9
Collections_25,1,0,0,8,0,0,8,0,2,0,5,0,0,2,0,2
Compress_10,2,0,2,17,0,0,10,0,5,11,7,0,0,0,0,9
Compress_11,2,0,0,11,0,0,9,0,2,0,9,0,0,0,0,1
Compress_2,3,0,0,2,0,0,8,0,0,12,13,0,1,2,0,16
Compress_20,2,0,0,1,0,0,13,0,2,5,11,0,1,2,0,3
Compress_22,4,0,0,5,0,0,5,0,2,0,6,0,0,0,0,8
Compress_29,3,0,1,3,0,0,10,1,2,10,6,0,0,0,0,10
Compress_33,1,0,1,0,0,0,10,0,7,3,6,0,0,1,0,3
Compress_34,16,0,0,0,0,0,6,0,2,1,13,0,1,2,0,19
Compress_35,8,0,1,5,0,0,13,0,4,7,7,0,1,1,0,5
Compress_39,6,0,1,4,0,0,4,0,2,0,5,0,0,1,0,3
Compress_4,2,0,0,0,0,0,14,0,9,1,4,0,0,0,0,17
Compress_40,6,0,0,18,0,0,9,0,1,0,9,0,0,5,0,7
Compress_42,2,0,0,0,0,0,5,0,2,3,4,0,0,0,0,1
Compress_43,1,0,0,0,0,0,7,0,5,1,7,0,0,0,0,3
Compress_47,9,0,1,0,0,0,13,0,6,2,10,0,0,0,0,7
Compress_6,1,0,0,0,0,0,6,0,0,3,4,0,0,0,0,4
Compress_9,8,0,3,23,2,0,12,1,1,17,9,0,0,0,0,15
