bug_id,repair,failed_test_prior,failed_test_after,regression_reduction,compile_fail
JacksonDatabind-55,1,1,0,1,0
JacksonDatabind-56,1,1,0,1,0
JacksonDatabind-59,1,1,0,1,0
JacksonDatabind-60,1,2,0,2,0
JacksonDatabind-61,1,1,0,1,0
JacksonDatabind-65,1,1,0,1,0
JacksonDatabind-66,1,1,0,1,0
JacksonDatabind-68,1,2,0,2,0
JacksonDatabind-69,1,1,0,1,0
JacksonDatabind-72,1,1,0,1,0
JacksonDatabind-73,1,2,0,2,0
JacksonDatabind-75,1,1,0,1,0
JacksonDatabind-77,1,1,0,1,0
JacksonDatabind-78,1,1,0,1,0
JacksonDatabind-79,1,1,0,1,0
JacksonDatabind-80,0,1,1,0,0
JacksonDatabind-81,0,1,1,0,0
JacksonDatabind-87,1,1,0,1,0
JacksonDatabind-90,1,1,0,1,0
JacksonDatabind-94,1,1,0,1,0
JacksonDatabind-95,1,1,0,1,0
JacksonDatabind-103,0,1,1,0,0
JacksonDatabind-104,0,2,1,1,0
JacksonDatabind-105,0,1,1,0,0
JacksonDatabind-108,0,1,1,0,0
JacksonDatabind-109,0,1,1,0,0
JacksonDatabind-110,0,1,1,0,0
JacksonDatabind-111,0,1,1,0,0
JacksonXml-1,1,3,0,3,0
JacksonXml-6,1,5,0,5,0
Jsoup-3,1,3,0,3,0
Jsoup-4,1,2,0,2,0
Jsoup-7,1,1,0,1,0
Jsoup-11,1,4,0,4,0
Jsoup-12,1,1,0,1,0
Jsoup-14,1,2,0,2,0
Jsoup-16,1,2,0,2,0
Jsoup-18,1,3,0,3,0
Jsoup-21,1,2,0,2,0
Jsoup-22,1,3,0,3,0
Jsoup-23,1,1,0,1,0
Jsoup-28,1,6,0,6,0
Jsoup-29,1,1,0,1,0
Jsoup-30,1,1,0,1,0
Jsoup-31,1,1,0,1,0
Jsoup-36,0,6,0,undefined,1
Jsoup-42,1,2,0,2,0
Jsoup-50,1,1,0,1,0
Jsoup-52,1,7,0,7,0
Jsoup-56,1,1,0,1,0
Jsoup-58,1,2,0,2,0
Jsoup-59,1,2,0,2,0
Jsoup-60,1,2,0,2,0
Jsoup-63,1,3,0,3,0
Jsoup-65,1,1,0,1,0
Jsoup-66,1,1,0,1,0
Jsoup-67,1,1,0,1,0
Jsoup-71,1,2,0,2,0
Jsoup-73,1,1,0,1,0
Jsoup-74,1,1,0,1,0
Jsoup-78,0,1,1,0,0
Jsoup-79,1,1,0,1,0
Jsoup-81,1,1,0,1,0
Jsoup-83,1,2,0,2,0
Jsoup-87,1,1,0,1,0
Jsoup-91,1,3,0,3,0
Jsoup-92,1,3,0,3,0
JxPath-1,1,2,0,2,0
JxPath-2,1,1,0,1,0
JxPath-3,1,1,0,1,0
JxPath-4,1,6,0,6,0
JxPath-7,1,1,0,1,0
JxPath-9,1,1,0,1,0
JxPath-11,1,0,0,0,0
JxPath-13,1,1,0,1,0
JxPath-15,1,0,0,0,0
JxPath-16,1,0,0,0,0
JxPath-17,1,0,0,0,0
JxPath-18,1,0,0,0,0
JxPath-19,1,2,0,2,0
JxPath-20,1,1,0,1,0
Lang-4,1,1,0,1,0
Lang-5,1,1,0,1,0
Lang-7,1,1,0,1,0
Lang-8,1,1,0,1,0
Lang-13,1,1,0,1,0
Lang-15,1,2,0,2,0
Lang-19,1,2,0,2,0
Lang-20,1,2,0,2,0
Lang-23,1,1,0,1,0
Lang-27,1,1,0,1,0
Lang-30,1,10,0,10,0
Lang-32,1,1,0,1,0
Lang-34,1,27,0,27,0
Lang-35,1,1,0,1,0
Lang-36,1,2,0,2,0
Lang-41,1,2,0,2,0
Lang-46,1,1,0,1,0
Lang-47,1,2,0,2,0
Lang-50,1,2,0,2,0
Lang-56,1,1,0,1,0
Lang-60,1,1,0,1,0
Lang-62,1,1,0,1,0
