bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,OTHER,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WRITE
Closure_54,12,1,0,0,0,7,0,12,1,14,0,2,1,44
Closure_6,0,0,0,0,0,1,0,6,2,7,0,1,0,33
Closure_60,1,0,0,0,0,3,0,5,1,10,0,1,0,18
Closure_64,1,0,0,0,0,1,0,4,1,7,0,8,0,18
Closure_68,2,0,0,0,0,5,1,5,2,5,0,13,0,21
Closure_72,3,0,0,0,2,4,0,2,5,7,0,11,0,19
Closure_74,0,0,0,0,1,4,0,5,3,9,0,0,0,23
Closure_75,1,0,0,0,0,4,0,3,2,5,0,2,0,13
Closure_76,0,0,0,0,0,1,0,1,1,6,0,0,0,12
Closure_79,5,0,0,0,0,2,0,3,3,5,0,0,0,30
Closure_80,3,1,0,0,0,1,0,3,4,7,0,1,0,13
Closure_84,1,0,0,0,5,32,0,21,5,13,0,16,0,52
Closure_85,1,0,0,0,7,4,0,3,2,17,0,11,0,35
Closure_89,0,0,0,0,4,4,1,4,5,19,1,3,0,31
Closure_9,2,1,0,0,0,6,0,1,5,5,1,10,1,15
Closure_90,12,0,0,0,7,4,0,24,2,13,0,18,0,62
Closure_98,2,0,0,0,0,2,0,7,3,5,0,1,0,22
Closure_99,2,0,0,0,0,0,0,0,1,4,0,4,0,4
Codec_1,1,0,0,0,2,2,1,2,3,2,0,8,0,12
Codec_11,10,0,0,0,0,2,0,3,1,27,0,3,0,16
Codec_12,1,0,0,0,0,1,0,2,3,3,0,2,0,13
Codec_13,0,0,0,0,0,4,0,3,2,4,0,1,0,16
Codec_14,3,0,1,0,0,7,0,7,8,7,0,9,0,23
Codec_6,2,0,0,0,0,1,0,1,1,3,0,1,0,9
Codec_8,2,0,0,0,1,0,0,1,1,6,0,8,0,10
Collections_25,1,0,0,0,1,1,0,3,3,4,0,2,0,14
Compress_10,2,0,0,0,0,3,0,1,1,6,0,1,0,9
Compress_11,1,0,0,0,1,0,0,3,1,4,0,5,0,14
Compress_2,3,0,0,0,0,2,0,1,4,4,0,1,0,9
Compress_20,0,0,0,0,0,1,1,1,1,5,0,2,0,12
Compress_22,1,0,0,0,1,0,0,1,2,6,0,4,0,9
Compress_29,8,0,0,0,11,1,0,7,4,8,0,6,0,25
Compress_3,0,1,0,0,0,1,0,3,1,5,0,2,0,20
Compress_33,2,0,0,0,0,2,0,0,2,4,0,0,0,15
Compress_34,2,0,0,0,0,0,0,1,1,5,0,1,0,7
Compress_35,1,0,0,0,0,0,0,1,1,8,0,0,0,8
Compress_39,2,0,0,0,1,0,0,2,3,4,0,6,0,9
Compress_4,4,0,0,0,0,7,0,6,6,7,0,19,0,30
Compress_40,2,0,0,0,0,0,0,0,1,5,0,0,0,7
Compress_42,1,0,0,0,0,2,0,2,1,5,0,0,0,15
Compress_43,0,0,0,0,0,0,0,4,1,5,0,5,0,13
Compress_47,3,0,0,0,0,2,0,4,1,4,0,2,0,22
Compress_6,1,0,0,0,0,0,0,0,2,5,0,0,0,6
Compress_9,2,0,0,0,0,0,0,0,1,3,0,4,0,9
Csv_13,2,0,0,0,0,0,0,1,3,4,0,7,0,13
Csv_16,0,0,0,0,1,2,0,2,1,5,0,1,0,10
Csv_7,1,0,0,0,0,3,0,4,3,4,0,0,0,19
Csv_8,0,0,0,0,1,0,0,0,1,4,0,0,0,9
Gson_1,3,0,0,0,0,1,0,2,1,6,0,0,0,20
Gson_14,0,0,0,0,0,1,4,2,1,15,0,1,0,7
Gson_3,1,0,0,0,0,0,0,0,2,5,0,0,0,9
Gson_4,1,0,0,1,0,0,1,4,2,5,0,2,0,15
Gson_7,1,0,0,0,0,2,0,3,1,5,0,0,0,19
Gson_8,1,0,0,0,0,0,0,1,1,3,0,0,0,5
Gson_9,19,1,1,0,2,6,1,5,6,8,0,5,0,40
JacksonCore_1,1,0,0,0,0,0,0,2,1,5,0,2,0,12
JacksonCore_10,13,0,2,0,18,9,0,2,3,18,0,19,0,35
JacksonCore_12,2,1,0,0,1,4,1,10,1,5,0,3,0,26
JacksonCore_16,1,0,0,0,0,1,0,8,3,10,0,11,0,25
JacksonCore_17,1,0,0,0,0,2,0,1,2,4,0,3,0,11
JacksonCore_18,0,0,0,0,2,0,0,9,1,3,0,0,0,16
JacksonCore_19,2,0,0,0,0,1,0,2,1,4,0,2,0,24
JacksonCore_2,11,1,1,0,5,8,0,6,4,12,0,8,0,32
JacksonCore_21,0,0,0,0,1,0,0,2,1,4,0,2,0,7
JacksonCore_22,2,0,0,0,0,3,0,2,5,5,0,8,0,19
JacksonCore_24,0,0,0,0,0,1,0,8,2,11,0,5,1,25
JacksonCore_9,0,0,0,0,1,0,0,2,2,3,0,0,0,18
JacksonDatabind_10,2,0,0,0,0,0,0,4,5,7,0,4,0,28
JacksonDatabind_103,3,0,0,0,2,5,1,12,5,15,0,2,0,44
JacksonDatabind_104,2,0,0,0,0,4,0,4,2,3,0,4,0,12
JacksonDatabind_105,2,0,0,0,0,2,0,9,2,5,0,4,0,32
JacksonDatabind_108,0,0,0,0,0,2,0,7,2,4,0,2,0,28
JacksonDatabind_109,5,0,0,0,0,3,0,10,2,9,0,1,1,35
JacksonDatabind_110,4,0,0,0,0,3,0,2,4,10,0,6,0,23
JacksonDatabind_111,0,0,0,0,0,1,0,4,2,13,0,11,0,40
JacksonDatabind_13,12,1,1,0,0,7,0,7,6,7,0,5,0,34
JacksonDatabind_14,4,0,0,0,0,2,0,8,1,11,0,1,0,22
JacksonDatabind_15,10,0,1,0,1,1,0,1,5,12,0,9,0,23
JacksonDatabind_18,3,0,0,0,1,3,0,5,1,8,0,1,0,24
JacksonDatabind_20,2,0,0,0,1,4,0,2,3,5,0,8,0,30
JacksonDatabind_21,1,0,0,0,0,2,0,6,2,5,0,2,0,20
JacksonDatabind_22,2,0,0,0,3,1,1,6,4,7,0,2,0,22
JacksonDatabind_23,1,0,0,0,3,5,0,4,2,8,0,3,0,22
JacksonDatabind_25,0,0,0,0,1,1,0,4,2,5,0,0,0,40
