bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
math_86,8,0,1,0,0,6,0,1,4,7,0,0,1,0,10
math_90,2,0,0,0,0,3,0,0,3,4,0,1,1,0,6
math_92,2,0,0,0,0,9,0,0,3,4,0,0,0,0,9
math_93,4,0,0,0,0,10,0,4,6,5,0,0,0,0,8
math_98,1,0,0,0,0,5,0,2,3,3,0,0,0,0,9
math_99,3,0,0,0,0,8,0,0,2,6,0,0,0,0,8
mockito_10,2,0,0,0,0,8,0,0,6,5,0,0,1,0,10
mockito_14,3,0,0,0,0,10,0,7,4,5,0,0,0,0,7
mockito_15,2,0,0,0,0,8,0,4,9,6,0,0,1,0,9
mockito_16,2,1,0,1,0,13,0,6,5,7,0,1,0,0,7
mockito_17,4,0,0,0,0,11,0,3,5,8,0,0,1,0,5
mockito_19,6,0,0,0,0,14,0,1,4,12,0,0,3,0,21
mockito_2,2,0,0,0,0,10,0,2,7,9,0,0,2,0,10
mockito_20,3,0,0,0,0,16,0,7,7,7,0,1,1,0,7
mockito_21,6,0,0,1,0,16,1,1,10,8,0,0,1,0,8
mockito_23,5,0,0,0,0,13,0,6,3,6,0,1,5,0,13
mockito_25,5,1,0,1,0,10,0,2,6,6,0,0,3,0,9
mockito_3,12,0,0,1,0,23,0,1,19,11,0,0,1,1,11
mockito_30,5,0,0,0,0,13,0,7,9,5,0,0,2,0,7
mockito_31,7,0,0,4,0,14,0,2,10,6,0,2,1,0,8
mockito_32,5,1,0,2,0,13,0,6,10,5,0,0,1,0,7
mockito_35,1,0,0,0,0,9,0,7,6,6,0,0,0,0,10
mockito_36,2,0,0,0,0,8,0,2,5,8,0,0,1,0,7
mockito_4,2,0,0,0,0,6,0,1,5,8,0,0,3,0,9
mockito_6,3,0,0,0,0,12,0,5,5,5,0,0,9,0,25
mockito_9,8,1,0,0,0,14,1,1,6,9,0,2,5,0,9
